iteration,episode,avg_score,best_score,best_avg_score
1,3,-18.49168853893264,-18.18372703412074,-18.49168853893264
2,6,-18.926800816564604,-18.18372703412074,-18.49168853893264
3,12,-19.23242927967338,-16.923884514435695,-18.49168853893264
4,13,-19.175987616932503,-16.923884514435695,-18.49168853893264
5,18,-19.206765820939054,-16.181977252843396,-18.49168853893264
6,19,-19.450200303909384,-16.181977252843396,-18.49168853893264
7,24,-19.498687664042,-16.181977252843396,-18.49168853893264
8,25,-19.56311461067367,-16.181977252843396,-18.49168853893264
9,29,-19.375267746704075,-16.181977252843396,-18.49168853893264
10,33,-19.213870993398555,-15.349081364829399,-18.49168853893264
