iteration,episode,avg_score,best_score,best_avg_score
0,12,5.666666666666667,12,5.666666666666667
1,30,5.766666666666667,12,5.766666666666667
2,42,5.833333333333333,12,5.833333333333333
3,60,6.066666666666666,13,6.066666666666666
4,78,6.346153846153846,13,6.346153846153846
5,90,6.388888888888889,13,6.388888888888889
6,108,6.95,16,6.95
7,120,7.35,16,7.35
8,138,7.82,16,7.82
9,156,8.26,16,8.26
10,168,8.35,16,8.35
11,186,8.48,16,8.48
12,198,8.55,16,8.55
13,216,8.63,16,8.63
14,234,8.86,18,8.86
15,246,9.19,19,9.19
16,264,9.65,19,9.65
17,276,10.06,19,10.06
18,294,10.36,19,10.36
19,312,10.86,19,10.86
20,324,10.8,19,10.86
21,342,11.06,19,11.06
22,354,10.99,19,11.06
23,372,10.88,19,11.06
24,390,10.47,19,11.06
25,402,9.96,19,11.06
26,420,10.26,19,11.06
27,432,9.98,19,11.06
28,450,9.99,19,11.06
29,468,9.82,19,11.06
30,480,9.84,19,11.06
31,498,9.88,19,11.06
32,510,9.48,19,11.06
33,528,9.69,19,11.06
34,546,9.25,19,11.06
35,558,9.24,19,11.06
36,576,9.54,19,11.06
37,588,9.65,19,11.06
38,606,9.88,19,11.06
39,624,9.74,19,11.06
40,636,10.01,19,11.06
41,654,9.75,19,11.06
42,666,9.35,19,11.06
43,684,9.74,20,11.06
44,702,9.93,20,11.06
45,714,10.07,20,11.06
46,732,10.23,20,11.06
47,750,10.36,20,11.06
48,762,10.56,20,11.06
49,780,10.49,20,11.06
50,792,10.38,20,11.06
51,810,10.43,22,11.06
52,828,10.57,22,11.06
53,840,10.49,22,11.06
54,858,10.22,22,11.06
55,870,10.29,22,11.06
56,888,9.75,22,11.06
57,906,9.46,22,11.06
58,918,9.37,22,11.06
59,936,9.57,22,11.06
60,948,9.77,22,11.06
61,966,9.87,22,11.06
62,984,9.61,22,11.06
63,996,9.85,22,11.06
64,1014,9.72,22,11.06
65,1026,9.39,22,11.06
66,1044,9.17,22,11.06
67,1062,8.89,22,11.06
68,1074,9.28,22,11.06
69,1092,10.17,22,11.06
70,1104,10.25,22,11.06
71,1122,10.75,22,11.06
72,1140,10.92,22,11.06
73,1152,10.27,22,11.06
74,1170,10.55,22,11.06
75,1182,10.27,22,11.06
76,1200,9.05,22,11.06
77,1218,9.7,25,11.06
78,1230,9.68,25,11.06
79,1248,9.78,25,11.06
80,1260,9.97,25,11.06
81,1278,9.64,25,11.06
82,1296,9.97,25,11.06
83,1308,9.86,25,11.06
84,1326,9.89,25,11.06
85,1338,10.23,25,11.06
86,1356,9.89,25,11.06
87,1374,9.78,25,11.06
88,1386,10.61,25,11.06
89,1404,9.87,25,11.06
90,1416,9.65,25,11.06
91,1434,9.54,25,11.06
92,1452,9.55,25,11.06
93,1464,9.43,25,11.06
94,1482,9.09,25,11.06
95,1500,9.96,25,11.06
96,1512,10.01,25,11.06
97,1530,10.01,25,11.06
98,1542,10.0,25,11.06
99,1560,10.29,25,11.06
100,1578,10.54,25,11.06
101,1590,10.05,25,11.06
102,1608,9.78,25,11.06
103,1620,9.59,25,11.06
104,1638,9.46,25,11.06
105,1656,9.77,25,11.06
106,1668,10.12,25,11.06
107,1686,10.21,25,11.06
108,1698,10.09,25,11.06
109,1716,9.84,25,11.06
110,1734,9.59,25,11.06
111,1746,9.66,25,11.06
112,1764,8.92,25,11.06
113,1776,8.55,25,11.06
114,1794,8.63,25,11.06
115,1812,8.87,25,11.06
116,1824,8.79,25,11.06
117,1842,9.14,25,11.06
118,1854,9.08,25,11.06
119,1872,9.47,25,11.06
120,1890,9.77,25,11.06
121,1902,9.76,25,11.06
122,1920,9.84,25,11.06
123,1932,10.0,25,11.06
124,1950,10.16,25,11.06
125,1968,10.57,25,11.06
126,1980,10.54,25,11.06
127,1998,10.41,25,11.06
128,2010,10.26,25,11.06
129,2028,10.32,25,11.06
130,2046,10.34,25,11.06
131,2058,10.43,25,11.06
132,2076,10.11,25,11.06
133,2088,9.9,25,11.06
134,2106,10.66,25,11.06
135,2124,10.87,25,11.06
136,2136,10.37,27,11.06
137,2154,10.8,27,11.06
138,2166,10.84,27,11.06
139,2184,11.11,27,11.11
140,2202,10.07,27,11.11
