iteration,episode,avg_score,best_score,best_avg_score
0,2,2.5,3,2.5
1,4,2.25,3,2.5
2,6,2.5,4,2.5
3,8,2.375,4,2.5
4,10,2.3,4,2.5
5,12,2.25,4,2.5
6,14,2.2857142857142856,4,2.5
7,16,2.375,4,2.5
8,18,2.388888888888889,4,2.5
9,21,2.142857142857143,4,2.5
10,23,2.0869565217391304,4,2.5
11,25,2.08,4,2.5
12,27,2.074074074074074,4,2.5
13,29,2.103448275862069,4,2.5
14,31,2.129032258064516,4,2.5
15,33,2.0606060606060606,4,2.5
16,35,2.085714285714286,4,2.5
17,37,2.135135135135135,4,2.5
18,39,2.1538461538461537,4,2.5
19,42,2.119047619047619,4,2.5
20,44,2.1363636363636362,4,2.5
21,46,2.1739130434782608,4,2.5
22,48,2.1875,4,2.5
23,50,2.22,4,2.5
24,52,2.1923076923076925,4,2.5
25,54,2.2222222222222223,4,2.5
26,56,2.267857142857143,4,2.5
27,58,2.2758620689655173,4,2.5
28,61,2.278688524590164,4,2.5
29,63,2.2857142857142856,4,2.5
30,65,2.3076923076923075,4,2.5
31,67,2.3134328358208953,4,2.5
32,69,2.289855072463768,4,2.5
33,71,2.2816901408450705,4,2.5
34,73,2.3013698630136985,4,2.5
35,75,2.2533333333333334,4,2.5
36,77,2.2467532467532467,4,2.5
37,79,2.240506329113924,4,2.5
38,82,2.2195121951219514,4,2.5
39,84,2.2023809523809526,4,2.5
40,86,2.244186046511628,4,2.5
41,88,2.227272727272727,4,2.5
42,90,2.2,4,2.5
43,92,2.217391304347826,4,2.5
44,94,2.24468085106383,4,2.5
45,96,2.2395833333333335,4,2.5
46,98,2.2448979591836733,4,2.5
47,100,2.23,4,2.5
48,103,2.24,4,2.5
49,105,2.24,4,2.5
50,107,2.25,4,2.5
51,109,2.26,4,2.5
52,111,2.27,4,2.5
53,113,2.28,4,2.5
54,115,2.29,4,2.5
55,117,2.32,4,2.5
56,119,2.32,4,2.5
57,121,2.37,4,2.5
58,124,2.39,4,2.5
59,126,2.39,4,2.5
60,128,2.37,4,2.5
