iteration,episode,avg_score,best_score,best_avg_score
0,18,5.888888888888889,8,5.888888888888889
1,37,5.675675675675675,8,5.888888888888889
2,61,5.295081967213115,10,5.888888888888889
3,82,5.317073170731708,10,5.888888888888889
4,101,5.32,10,5.888888888888889
5,121,5.32,10,5.888888888888889
6,143,5.36,10,5.888888888888889
7,161,5.6,10,5.888888888888889
8,179,5.81,10,5.888888888888889
9,198,5.87,10,5.888888888888889
10,215,5.8,10,5.888888888888889
11,235,6.1,10,6.1
12,254,6.02,10,6.1
13,273,6.08,10,6.1
14,293,6.04,10,6.1
15,311,6.09,10,6.1
16,327,6.09,10,6.1
17,344,6.1,10,6.1
18,363,6.1,10,6.1
19,380,5.94,10,6.1
20,398,6.06,10,6.1
21,417,5.99,10,6.1
22,434,6.16,10,6.16
23,451,6.24,10,6.24
24,470,6.36,10,6.36
25,488,6.38,10,6.38
26,505,6.3,10,6.38
27,523,6.36,10,6.38
28,540,6.38,10,6.38
29,557,6.32,10,6.38
30,575,6.4,10,6.4
31,593,6.58,10,6.58
32,609,6.79,10,6.79
33,628,6.66,10,6.79
34,647,6.6,10,6.79
35,663,6.63,10,6.79
36,683,6.57,10,6.79
37,702,6.52,10,6.79
38,719,6.56,10,6.79
39,737,6.54,10,6.79
40,758,6.55,10,6.79
41,773,6.55,10,6.79
42,791,6.6,10,6.79
43,810,6.49,10,6.79
44,826,6.53,10,6.79
45,844,6.72,10,6.79
46,861,6.79,10,6.79
47,878,6.69,10,6.79
48,896,6.75,10,6.79
49,913,6.74,10,6.79
50,931,6.68,10,6.79
51,949,6.59,10,6.79
52,966,6.62,10,6.79
53,983,6.64,10,6.79
54,1001,6.59,10,6.79
55,1019,6.74,10,6.79
56,1037,6.6,10,6.79
57,1055,6.55,10,6.79
58,1073,6.69,10,6.79
59,1089,6.65,10,6.79
60,1107,6.75,10,6.79
61,1124,6.8,10,6.8
62,1141,6.82,10,6.82
63,1159,6.96,10,6.96
64,1176,6.78,10,6.96
65,1193,6.76,10,6.96
66,1211,6.62,10,6.96
67,1229,6.53,10,6.96
68,1246,6.47,10,6.96
69,1264,6.5,10,6.96
70,1281,6.55,10,6.96
71,1301,6.41,10,6.96
72,1319,6.53,10,6.96
73,1337,6.5,10,6.96
74,1354,6.5,10,6.96
75,1373,6.41,10,6.96
76,1390,6.44,10,6.96
77,1409,6.44,10,6.96
78,1425,6.55,10,6.96
79,1442,6.61,10,6.96
80,1460,6.72,10,6.96
81,1477,6.71,10,6.96
82,1495,6.69,10,6.96
83,1511,6.66,10,6.96
84,1529,6.69,10,6.96
85,1547,6.71,10,6.96
86,1564,6.76,10,6.96
87,1581,6.85,10,6.96
88,1599,6.98,10,6.98
89,1616,6.97,10,6.98
90,1633,6.88,10,6.98
91,1650,6.93,10,6.98
92,1667,6.96,10,6.98
93,1685,6.78,10,6.98
94,1702,6.72,10,6.98
95,1720,6.76,10,6.98
96,1737,6.87,10,6.98
97,1754,6.89,10,6.98
98,1772,6.96,10,6.98
99,1790,7.06,10,7.06
100,1807,7.2,10,7.2
101,1824,7.1,10,7.2
102,1841,7.01,10,7.2
103,1859,7.04,10,7.2
104,1878,6.96,10,7.2
105,1894,6.98,10,7.2
106,1912,7.04,10,7.2
107,1930,6.99,10,7.2
108,1947,6.97,10,7.2
109,1966,7.06,10,7.2
110,1985,7.14,10,7.2
111,2001,7.04,10,7.2
112,2020,6.96,10,7.2
113,2037,7.01,10,7.2
114,2056,6.96,10,7.2
115,2073,7.05,10,7.2
116,2090,7.11,10,7.2
117,2108,7.12,10,7.2
118,2127,7.13,10,7.2
119,2143,7.24,10,7.24
120,2161,7.2,10,7.24
121,2179,7.23,10,7.24
122,2195,7.2,10,7.24
123,2212,7.31,11,7.31
124,2230,7.42,11,7.42
125,2246,7.46,11,7.46
126,2264,7.47,11,7.47
127,2281,7.53,11,7.53
128,2298,7.55,11,7.55
129,2315,7.62,11,7.62
130,2332,7.49,11,7.62
131,2350,7.45,11,7.62
132,2367,7.47,11,7.62
133,2385,7.41,11,7.62
134,2403,7.22,11,7.62
135,2419,7.16,11,7.62
136,2437,7.15,11,7.62
137,2455,7.16,11,7.62
138,2471,7.24,11,7.62
139,2488,7.32,11,7.62
140,2507,7.36,11,7.62
141,2523,7.46,11,7.62
142,2540,7.59,11,7.62
143,2558,7.58,11,7.62
144,2574,7.52,11,7.62
145,2592,7.52,11,7.62
146,2609,7.6,11,7.62
147,2626,7.61,11,7.62
148,2644,7.6,11,7.62
149,2661,7.72,11,7.72
150,2678,7.8,11,7.8
151,2696,7.82,11,7.82
152,2714,7.92,11,7.92
153,2730,7.87,11,7.92
154,2747,8.02,11,8.02
155,2765,7.98,11,8.02
156,2781,7.95,11,8.02
157,2798,7.99,11,8.02
158,2816,8.08,11,8.08
159,2832,8.1,11,8.1
160,2849,8.17,11,8.17
161,2867,8.25,11,8.25
162,2884,8.26,11,8.26
163,2900,8.21,11,8.26
164,2918,8.14,11,8.26
165,2935,8.12,11,8.26
166,2952,8.08,11,8.26
167,2970,8.05,11,8.26
168,2988,8.08,11,8.26
169,3005,8.23,11,8.26
170,3021,8.31,11,8.31
171,3039,8.31,11,8.31
172,3057,8.33,11,8.33
173,3072,8.38,11,8.38
174,3090,8.37,11,8.38
175,3108,8.29,11,8.38
176,3124,8.29,11,8.38
177,3141,8.27,11,8.38
178,3159,8.25,11,8.38
179,3175,8.34,11,8.38
180,3192,8.45,11,8.45
181,3210,8.54,11,8.54
182,3227,8.54,11,8.54
183,3245,8.51,11,8.54
184,3262,8.4,11,8.54
185,3280,8.32,11,8.54
186,3297,8.24,11,8.54
187,3313,8.18,12,8.54
188,3331,8.17,12,8.54
189,3348,8.25,12,8.54
190,3364,8.35,12,8.54
191,3382,8.29,12,8.54
192,3400,8.3,12,8.54
193,3417,8.34,12,8.54
194,3433,8.26,12,8.54
195,3452,8.14,12,8.54
196,3468,8.08,12,8.54
197,3485,8.09,12,8.54
198,3504,8.1,12,8.54
199,3522,7.97,12,8.54
