iteration,episode,policy,value,entropy
0,2.68,-0.00042956222023349255,0.3513870192691684,-3.4654378220438957
1,2.69,-0.00047084171092137694,0.36298215575516224,-3.4650461226701736
2,2.77,-0.0002739715782809071,0.3325110385194421,-3.4654564931988716
3,2.98,-0.0004127558204345405,0.27008445002138615,-3.4655244424939156
4,2.92,-0.00027223958750255406,0.278641888871789,-3.465543746948242
5,2.72,-0.0004186579244560562,0.2593823322094977,-3.4655088931322098
6,2.95,-0.0007341529926634394,0.23072919063270092,-3.4646686762571335
7,2.99,-0.0008051629411056638,0.26705460203811526,-3.4649240747094154
8,2.98,-0.0008545811215299182,0.265853731893003,-3.4648634791374207
9,2.78,-0.0008236871653934941,0.2383981253951788,-3.4643650949001312
10,2.83,-0.0005721043271478266,0.22990467073395848,-3.464493528008461
11,3.11,-0.0008661615574965253,0.2182686752639711,-3.464383214712143
12,2.69,-0.0008670554525451735,0.2228682143613696,-3.4643083065748215
13,2.64,-0.0007197275190264918,0.21132565196603537,-3.464710161089897
14,2.68,-0.0008682624320499599,0.22342640068382025,-3.4645501002669334
15,2.67,-0.0010390105526312254,0.2163747800514102,-3.464489698410034
16,3.06,-0.0015014740492915735,0.2092016930691898,-3.4640536084771156
17,2.88,-0.001316566689638421,0.2256013797596097,-3.4640271738171577
18,2.89,-0.0013091299624647945,0.2158788964152336,-3.463951662182808
19,2.73,-0.0012573451967909932,0.22346407128497958,-3.464126244187355
20,2.8,-0.0011599600475165062,0.2380557069554925,-3.4638756439089775
21,3.01,-0.0013898142133257352,0.21809429582208395,-3.463466890156269
22,2.67,-0.0011978182883467525,0.22370866499841213,-3.4640515819191933
23,2.73,-0.0014118191102170385,0.22861564718186855,-3.4632874131202698
24,2.88,-0.0011424256299505942,0.2413813783787191,-3.463766284286976
25,2.71,-0.0008339775813510641,0.24416278349235654,-3.4645292311906815
26,2.66,-0.0008488704334013164,0.2182144899852574,-3.4643632024526596
27,2.61,-0.0013807052600895986,0.23565944842994213,-3.463967628777027
28,2.76,-0.001134111858846154,0.227887112647295,-3.463796429336071
29,2.8,-0.0014580431452486664,0.23281775880604982,-3.463544026017189
30,2.68,-0.001267095110961236,0.23843337735161185,-3.463473819196224
31,3.06,-0.0008664568449603394,0.2317679412662983,-3.4638583958148956
32,2.96,-0.0017057380900951102,0.21402236446738243,-3.463453024625778
33,2.92,-0.0011300449405098334,0.2604679502546787,-3.464078389108181
34,3.07,-0.0015231396464514546,0.23498317645862699,-3.4635638669133186
35,2.91,-0.0012349005301075522,0.23830082500353456,-3.4636361077427864
36,2.81,-0.0011662757096928544,0.23301655473187566,-3.4641272202134132
37,2.88,-0.0014815480972174555,0.2251533200033009,-3.463854096829891
38,2.7,-0.001475424156524241,0.2175709712319076,-3.463720664381981
39,2.79,-0.002144471858628094,0.24827426578849554,-3.463201344013214
40,2.69,-0.0016033171559683979,0.22915572067722678,-3.463527038693428
41,3.15,-0.001719797022815328,0.2241605739109218,-3.4634583070874214
42,2.79,-0.0018029383063549176,0.2418798957951367,-3.4630269557237625
43,2.95,-0.0019189516897313297,0.2315350156277418,-3.463211826980114
44,2.82,-0.0022317511975415982,0.23825825285166502,-3.462772250175476
45,2.76,-0.0020614237073459662,0.23560150293633342,-3.462934672832489
46,2.7,-0.0020992763820686378,0.23495883028954268,-3.462803930044174
47,2.87,-0.001818456337787211,0.25135254207998514,-3.4626226648688316
48,2.95,-0.0017478518566349521,0.2235887860879302,-3.462966114282608
49,2.64,-0.0016265593367279507,0.2538049123249948,-3.4630556106567383
50,2.68,-0.0018617391870066058,0.22057140059769154,-3.4625930935144424
51,2.79,-0.001915370514325332,0.21961868647485971,-3.4624876976013184
52,3.11,-0.0014508789536193945,0.21455269772559404,-3.463069923222065
53,2.97,-0.0016529000640730374,0.21888627065345645,-3.462947078049183
54,2.7,-0.0022181211097631603,0.22566189849749207,-3.462145432829857
55,2.94,-0.0021155564973014407,0.21356529602780938,-3.4625434651970863
56,3.03,-0.0024172579869627953,0.2253945549018681,-3.461732752621174
57,2.85,-0.002091792492137756,0.23625307623296976,-3.4620464146137238
58,3.0,-0.0019656197691801935,0.23506463505327702,-3.4622427448630333
59,3.07,-0.001636539032915607,0.23826879262924194,-3.4623935222625732
60,2.8,-0.001742461357935099,0.2245169933885336,-3.4624508768320084
61,2.54,-0.001856474598753266,0.2513653333298862,-3.4624319672584534
62,2.89,-0.0018346592514717486,0.23867486231029034,-3.4628955647349358
63,2.67,-0.001718063242151402,0.23321476997807622,-3.463226728141308
64,2.79,-0.0019308374176034704,0.24125024676322937,-3.462607927620411
65,2.4,-0.0018376960069872439,0.26464843936264515,-3.4630435928702354
